Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
15,28,15,6,6,2,3,8,4,-5,37,13,0,8,4,4,1
-2,1,-12,7,3,2,-1,-1,-1,-10,40,0,2,3,-1,1,1
2,18,23,2,2,0,4,2,-15,-84,-78,-24,-10,0,-3,-6,1
-3,47,-115,-5,-3,9,-2,-5,-7,-31,31,-15,-16,-11,-3,-4,1
-1,-18,-13,-9,4,-1,1,-3,16,30,42,18,11,8,3,6,1
4,-33,-15,7,4,4,2,2,-6,18,-15,-8,-9,1,-4,-5,1
-5,-23,-40,0,-3,-4,-5,-6,5,46,42,6,1,2,-1,2,1
-5,-35,3,1,1,-3,0,-1,0,30,36,-5,-5,-4,-1,0,1
-3,-52,-49,-2,0,-4,-4,-2,-7,-38,22,-3,-5,-6,-3,-2,1
7,-25,41,-2,-3,-13,-7,-3,2,29,53,3,2,0,0,0,1
1,-6,-55,-3,-4,-8,-3,-1,-1,27,24,5,2,-2,1,1,1
2,24,-41,-7,-6,3,-2,-2,-1,-18,52,6,1,1,-1,1,1
2,28,12,4,6,3,2,-1,2,-7,-81,-15,-9,-12,-1,1,1
-7,21,21,6,4,6,3,1,-4,-22,-8,-13,-9,-10,-2,-3,1
-3,-6,-19,6,3,15,0,2,9,29,39,17,12,6,-4,-1,1
2,6,-36,-4,2,-4,1,-1,-2,18,23,-4,-2,-4,-3,-2,1
11,-51,-99,9,6,-2,4,10,-7,-51,60,-7,-11,-10,-3,-4,1
-12,-39,48,-16,-12,-6,-8,-5,0,19,40,6,-2,-5,-2,-4,1
-2,47,7,-20,-3,9,0,-5,-2,40,-18,12,7,0,3,7,1
-2,8,8,-3,-1,6,1,-2,-3,-34,-43,2,1,-2,2,0,1
0,-10,26,-4,-5,-3,0,-1,16,86,-52,-3,0,7,3,1,1
-8,-57,12,-4,-6,1,1,-1,6,-6,-49,13,7,5,4,5,1
-11,-32,-40,5,6,-4,-3,-2,-1,44,49,2,2,4,0,-1,1
-11,18,62,-2,1,-3,-1,-7,8,-4,-37,-2,0,12,0,3,1
-5,-41,-60,-5,-7,-5,-4,-1,-1,8,-10,15,2,-1,-4,-2,1
-4,-24,-90,-20,-8,-2,0,-2,2,-18,65,4,3,1,0,0,1
-10,6,74,-9,-9,-13,-2,-4,-6,90,28,-5,-1,-1,0,-4,1
5,21,4,0,-3,-4,1,-3,-4,-42,-69,-1,3,8,0,0,1
12,80,56,13,0,-8,-2,2,-9,-86,64,-10,-5,-4,-3,-5,1
5,-11,20,7,2,-2,3,3,-5,19,-38,-8,1,6,0,0,1
1,-35,-32,3,-2,1,1,-1,4,38,127,13,3,-1,2,-1,1
