Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,8,1,-1,-1,-6,-1,-1,0,-1,8,0,0,4,-1,-2,0
-1,2,6,-1,-6,-7,-1,-1,0,11,23,-1,-1,2,1,0,0
-2,-9,-36,-4,-2,-5,-2,-1,1,-7,-9,-3,-1,-1,-1,-1,0
-1,-7,5,0,4,4,0,-1,-3,1,17,-1,-6,-3,-1,-2,0
-3,-7,-45,-4,-1,0,-3,-2,-3,-2,35,-1,-5,-4,-1,-2,0
-1,-3,-32,-5,0,0,0,-2,1,0,-4,1,1,1,0,0,0
-3,-3,11,5,5,3,1,-2,0,-3,-20,-4,1,-1,0,-1,0
-1,1,16,0,-4,0,-1,-2,-5,-1,-12,-3,-6,-5,-3,-3,0
1,5,9,0,-14,-5,-3,0,1,6,11,-3,13,4,-1,0,0
0,-8,14,6,0,0,2,0,-2,-3,-17,0,-1,-1,-1,-1,0
-2,-1,8,-5,-4,-1,0,-2,-3,9,-21,0,-3,-6,-3,-1,0
2,9,37,1,-1,-2,-3,-2,-1,-4,-23,-6,-3,3,1,0,0
1,-8,12,1,4,-3,-2,0,-2,-11,-22,0,0,1,1,-1,0
1,-1,14,4,5,-2,-1,0,-1,-23,0,-2,-3,-3,-3,-2,0
0,28,0,0,-2,0,0,-1,0,-14,-16,-5,-1,1,-3,-1,0
-1,19,33,-5,-5,-4,-3,0,-4,-19,-29,0,-6,-5,1,-2,0
-3,-3,1,1,9,7,-1,0,2,-3,11,1,-6,-2,1,1,0
-4,0,-26,0,1,0,0,0,2,20,-1,0,-1,0,-1,-1,0
-4,-11,25,-4,-2,-4,-2,-2,-1,2,-18,-2,-2,0,-1,1,0
1,-10,6,-2,-2,0,0,0,2,12,-17,-4,-1,-1,-2,-1,0
-5,0,-14,-1,8,2,-2,-1,-3,-10,7,3,-1,1,-1,-2,0
-1,-17,-1,3,2,-2,-2,0,-1,5,18,9,1,-2,-2,-2,0
1,4,-20,-7,-3,-1,1,1,0,13,-14,-6,-3,-3,-4,-2,0
-1,-9,22,-6,-1,-3,-1,-1,-3,3,-1,3,1,2,0,0,0
-1,-24,-16,-1,-4,0,-1,1,-4,7,4,-2,-1,1,-1,-1,0
-2,6,-25,-4,-11,-3,-3,-3,2,-18,5,-7,13,1,-3,-3,0
1,7,35,10,1,-1,-1,-1,-2,-5,-14,0,-2,-1,1,-1,0
